KB_REGN_NM,KB_REGN_NM,KB_REGN_NM,CMPX_IDF_ID,CMPX_IDF_NM,TOT_HSHL_CNT,NV세대수,SUM_HSHL_CNT,NV_CMPX_NM,NV_CMPX_ID,KB주택형,NV주택형,NV_URL,KB_URL,기매핑건수,KB_REGN_CD
도농동,남양주시,경기도,KBA005717,도농한신,270,457,457,도농역센트레빌,27338,"82.14㎡/59.84㎡^,100.96㎡/76.89㎡^,107.95㎡/84.96㎡^","면적87㎡^,면적109A㎡^,면적110B㎡^,면적141B㎡^,면적145A㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=27338,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA005717&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=도농한신&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA005717,도농한신,270,111,111,휴먼시아6단지,27639,"82.14㎡/59.84㎡^,100.96㎡/76.89㎡^,107.95㎡/84.96㎡^","면적152A㎡^,면적152B㎡^,면적156㎡^,면적168A㎡^,면적168A1㎡^,면적168B1㎡^,면적168B㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=27639,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA005717&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=도농한신&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1,020903
도농동,남양주시,경기도,KBA005717,도농한신,270,114,114,휴먼시아7단지,27640,"82.14㎡/59.84㎡^,100.96㎡/76.89㎡^,107.95㎡/84.96㎡^","면적152㎡^,면적156㎡^,면적167㎡^,면적168A㎡^,면적168B㎡^,면적183㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=27640,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA005717&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=도농한신&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1,020903
도농동,남양주시,경기도,KBA005717,도농한신,270,63,63,휴먼시아8단지,27641,"82.14㎡/59.84㎡^,100.96㎡/76.89㎡^,107.95㎡/84.96㎡^","면적151㎡^,면적166㎡^,면적167A㎡^,면적167B㎡^,면적182㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=27641,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA005717&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=도농한신&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1,020903
도농동,남양주시,경기도,KBA005717,도농한신,270,2042,2042,"부영그린타운4,5단지",3017,"82.14㎡/59.84㎡^,100.96㎡/76.89㎡^,107.95㎡/84.96㎡^","면적107㎡^,면적151㎡^,면적162㎡^,면적193㎡^,면적217㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=3017,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA005717&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=도농한신&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA005717,도농한신,270,270,270,도농한신,3018,"82.14㎡/59.84㎡^,100.96㎡/76.89㎡^,107.95㎡/84.96㎡^","면적82㎡^,면적100㎡^,면적107㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=3018,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA005717&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=도농한신&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA005717,도농한신,270,1086,1086,부영그린타운1단지,3019,"82.14㎡/59.84㎡^,100.96㎡/76.89㎡^,107.95㎡/84.96㎡^","면적151㎡^,면적162㎡^,면적193㎡^,면적217㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=3019,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA005717&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=도농한신&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA005717,도농한신,270,1484,1484,부영그린타운2단지,3020,"82.14㎡/59.84㎡^,100.96㎡/76.89㎡^,107.95㎡/84.96㎡^","면적107㎡^,면적151㎡^,면적162㎡^,면적193㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=3020,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA005717&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=도농한신&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA005717,도농한신,270,1144,1144,부영그린타운3단지,3105,"82.14㎡/59.84㎡^,100.96㎡/76.89㎡^,107.95㎡/84.96㎡^","면적107㎡^,면적151㎡^,면적162㎡^,면적193㎡^,면적217㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=3105,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA005717&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=도농한신&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA005717,도농한신,270,98,98,신우가든,8804,"82.14㎡/59.84㎡^,100.96㎡/76.89㎡^,107.95㎡/84.96㎡^","면적74㎡^,면적75㎡^,면적90㎡^,면적94A㎡^,면적95B㎡^,면적109㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=8804,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA005717&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=도농한신&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA005717,도농한신,270,74,74,창조,9611,"82.14㎡/59.84㎡^,100.96㎡/76.89㎡^,107.95㎡/84.96㎡^","면적52㎡^,면적55A㎡^,면적55B㎡^,면적58A㎡^,면적60B㎡^,면적63A㎡^,면적68A㎡^,면적68B㎡^,면적73A㎡^,면적91A㎡^,면적96B㎡^,면적96A㎡^,면적97C㎡^,면적107A㎡^,면적107B㎡^,면적114A㎡^,면적140A㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=9611,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA005717&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=도농한신&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,584,584,남양i-좋은집2단지,100181,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적89㎡^,면적94㎡^,면적109㎡^,면적146㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=100181,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,94,94,남양i-좋은집3단지,100182,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^",면적109㎡^,http://land.naver.com/article/complexInfo.nhn?rletNo=100182,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,30,30,양지,100271,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적39㎡^,면적44㎡^,면적67A㎡^,면적67B㎡^,면적67A㎡^,면적68B㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=100271,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,18,18,동양,100444,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적71A㎡^,면적71B㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=100444,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,18,18,동화,100565,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^",면적72㎡^,http://land.naver.com/article/complexInfo.nhn?rletNo=100565,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,86,86,부영사랑으로,102083,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적91㎡^,면적112㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=102083,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,382,382,남양i-좋은집1단지,10209,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적83㎡^,면적94㎡^,면적109㎡^,면적146㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=10209,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,10,10,건영,103666,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적71A㎡^,면적73B㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=103666,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,767,767,한화꿈에그린,10431,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적81B㎡^,면적81A㎡^,면적107㎡^,면적113㎡^,면적154㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=10431,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,10,10,아림,104659,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^",면적72㎡^,http://land.naver.com/article/complexInfo.nhn?rletNo=104659,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,80,80,제일,10467,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^",면적84㎡^,http://land.naver.com/article/complexInfo.nhn?rletNo=10467,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,317,283,남양주도농사랑으로부영7단지,106761,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적87㎡^,면적108A㎡^,면적109B㎡^,면적151B㎡^,면적151A㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=106761,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,18,18,성창빌라트,109848,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적52㎡^,면적66㎡^,면적71㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=109848,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,1186,1186,자연&롯데캐슬(B-2블록),110298,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적99㎡^,면적112B㎡^,면적113C㎡^,면적113A㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=110298,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,1615,1615,자연&e편한세상(B-4블록),110299,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적98㎡^,면적112A㎡^,면적113C㎡^,면적113B㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=110299,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,640,640,"다산신도시한양수자인(진건지구 B-8블록)",113720,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적100㎡^,면적110B㎡^,면적110A㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=113720,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,708,708,남양주도농롯데낙천대,11497,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적82㎡^,면적82탑㎡^,면적112㎡^,면적112탑㎡^,면적146㎡^,면적146탑㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=11497,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,96,96,충일,14504,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적69㎡^,면적72㎡^,면적76㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=14504,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,196,196,지금동원베네스트,17398,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적106B㎡^,면적106A㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=17398,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,495,495,휴먼시아5단지,25471,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적98A㎡^,면적98B㎡^,면적110C㎡^,면적110D㎡^,면적110A㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=25471,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,358,358,휴먼시아4단지,25472,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적96㎡^,면적107B㎡^,면적108C㎡^,면적108D㎡^,면적108A㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=25472,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,189,189,휴먼시아3단지,25475,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적96㎡^,면적107B㎡^,면적107A㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=25475,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,364,364,부영애시앙,26072,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^",면적176㎡^,http://land.naver.com/article/complexInfo.nhn?rletNo=26072,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
도농동,남양주시,경기도,KBA006359,부영그린타운(3단지),1144,1008,1008,지금힐스테이트,26480,"107.78㎡/84.73㎡^,151.12㎡/124.61㎡^,162.18㎡/134.87㎡^,193.48㎡/162.45㎡^,217.28㎡/182.76㎡^","면적88㎡^,면적105B㎡^,면적114A㎡^,면적128㎡^,면적153㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=26480,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006359&주택형일련번호=&부동산대지역코드=020000&부동산중지역코드=020900&부동산소지역코드=020903&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=부영그린타운(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0,020903
